Track Name,Album Name,Artist Name(s),Release Date,Genres
Jiska Mujhe Tha Intezar,Don,"Lata Mangeshkar,Kishore Kumar,Kalyanji-Anandji",4/20/1978,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop"
Aap Ke Karib,Saajan Ki Baahon Mein (Original Motion Picture Soundtrack),"Kumar Sanu,Sadhana Sargam",9/2/1994,"bollywood,hindi pop,tamil pop,bhajan"
Jeena Sirf Merre Liye,Jeena Sirf Mere Liye (Original Motion Picture Soundtrack),"Alka Yagnik,Babul Supriyo,Kavita Krishnamurthy",11/1/2002,"bollywood,hindi pop,desi,bangla pop,gujarati garba,bhajan"
Tare Hain Barati,Virasat,"Kumar Sanu,Jaspinder Narula",5/30/1997,"bollywood,hindi pop"
Dhire Dhire Aap Mere,Baazi,"Udit Narayan,Sadhana Sargam",4/13/1995,"bollywood,hindi pop,desi,tamil pop,bhajan"
Uljhi Hai Yeh Kis Jaal Mein Tu - Humko Aajkal Hai Intezaar,Sailaab,Anupama,8/31/1990,"marathi pop,bhajan"
Tumse Milkar Na Jane,Pyar Jhukta Nahin,"Lata Mangeshkar,Shabbir Kumar",10/11/1985,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bhojiwood"
Tumhein Dekhen Meri Aankhen,Rang (Original Motion Picture Soundtrack),"Alka Yagnik,P Sunanda,Kumar Sanu",7/9/1993,"bollywood,hindi pop,desi"
Meri Sanson Mein,Aur Pyar Ho Gaya,Udit Narayan,8/15/1997,"bollywood,hindi pop,desi"
Tere Ishq Mein Pagal,Humko Tumse Pyar Hai,"Udit Narayan,Alka Yagnik,Sapna Awasthi",10/7/2005,"bollywood,hindi pop,desi,bhajan"
Kam Se Kam Itna Kaha Hota,Dil Tera Aashiq (Original Motion Picture Soundtrack),"Alka Yagnik,Mukul Agarwal",10/22/1993,"bollywood,hindi pop,desi"
Saaton Janam Main Tere,Dilwale (Original Motion Picture Soundtrack),"Kumar Sanu,Alka Yagnik",7/15/1993,"bollywood,hindi pop,desi"
