Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7fzH38ofOIvZQwAQucwsKn,Kitni Bechain Hoke,Kasoor,"Alka Yagnik,Udit Narayan",2/2/2001,445120,57,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:42:58Z,"bollywood,hindi pop,desi",Saregama,0.583,0.814,6,-9.177,0,0.0616,0.491,0.00259,0.192,0.738,145.984,4
5OOCeCAdjJktp5byLSckoB,Zindagi Ban Gaye Ho Tum,Kasoor,"Alka Yagnik,Udit Narayan",2/2/2001,336973,51,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:50:37Z,"bollywood,hindi pop,desi",Saregama,0.363,0.797,5,-9.68,1,0.0577,0.596,0.00000753,0.168,0.735,77.67,4
5VpZiCaWHVuSOvFvxruT0J,Mere Mehboob Mere Sanam,Alka Yagnik Ke Nagme,"Udit Narayan,Alka Yagnik",3/1/2023,419498,48,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:50:44Z,"bollywood,hindi pop,desi",Saregama,0.743,0.657,2,-12.929,1,0.0891,0.0249,0,0.262,0.807,114.622,4
67JGYCzyz1TbT2tU1nplbs,Tauba Tumhare Ishare (From Chalte Chalte),Romantic Hits Of Abhijeet Bhattacharya,"Abhijeet,Alka Yagnik",2/4/2025,314374,46,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:50:52Z,"bollywood,hindi pop,desi",T-Series,0.496,0.849,4,-6.375,1,0.272,0.337,0.0000112,0.0607,0.68,123.92,5
13PBNcIOjxbNPeJHpygaCU,Ho Gaya Hai Tujhko To Pyar Sajna,Remembering Lata Mangeshkar,"Lata Mangeshkar,Udit Narayan",2/18/2022,347680,54,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:51:06Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop,desi",Saregama,0.404,0.662,7,-8.606,0,0.059,0.547,0.0000299,0.346,0.507,100.195,4
6A5wFryRTfXaihsdLwA31C,Hai Mera Dil (From Josh),Bollywood Melody Queen (Alka Yagnik),"Alka Yagnik,Udit Narayan",7/1/2016,250920,44,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:51:23Z,"bollywood,hindi pop,desi",Ishtar Music Pvt. Ltd.,0.64,0.43,5,-11.982,0,0.0331,0.379,0.0000136,0.17,0.565,89.913,4
5sJjo5vHh3icLEntFQlt8w,Oodhni,Tere Naam,"Udit Narayan,Alka Yagnik",6/28/2003,413146,55,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:51:32Z,"bollywood,hindi pop,desi",T-Series,0.636,0.962,6,-6.491,1,0.137,0.228,0,0.0406,0.448,117.016,4
6QOe7Z5XO9ZhiCEFQ3wFRv,Hamne Tumko Dil Ye De Diya,Gunaah (Original Motion Picture Soundtrack),"Anand Raj Anand,Alka Yagnik,Babul Supriyo",7/22/2002,322693,51,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:52:10Z,"bollywood,desi,hindi pop,bangla pop",Sony Music Entertainment India Pvt. Ltd.,0.487,0.737,9,-6.209,0,0.0898,0.361,0,0.206,0.316,83.203,4
3SdBm0UuDoEdx1fAQdPs3l,Tumse Milna,Tere Naam,"Udit Narayan,Alka Yagnik",6/28/2003,281426,54,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:54:23Z,"bollywood,hindi pop,desi",T-Series,0.572,0.733,0,-7.039,1,0.0462,0.598,0.0000633,0.0422,0.522,96.985,4
42OnkdXwkKo5NzkdOmvE75,Main Agar Saamne,Raaz (Original Motion Picture Soundtrack),"Abhijeet,Alka Yagnik",2/1/2002,346000,60,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:54:38Z,"bollywood,hindi pop,desi",Tips Industries Ltd,0.449,0.682,7,-9.665,0,0.0596,0.301,0,0.354,0.869,84.014,4
